,FIX,EME,PWR,MTZ,STRL,IESC,AGX,VRT,ETN,HUBB,NVT,MOD,POWL,GEV,MU,SNDK,WDC,STX,AVGO,MRVL,ANET,APH,ALAB,CRDO,COHR,LITE,CIEN,FN,MPWR,DELL,HPE,SMCI,CLS,GLW,VST,CEG,NRG,TLN,PEG,D,AEP,SO,ETR,EXC,CCJ,BWXT,OKLO,SMR,LEU,BE,EQIX,DLR,IRM
2022-01-03,96.1,124.99,111.47,93.91,26.825,52.2,36.13,24.29,158.78,191.79,35.57,10.45,9.26,,93.58,,44.73,99.35,61.19,87.81,35.56,41.52,,,71.49,107.01,77.38,121.445,478.32,51.76,14.25,4.547,11.2,33.09,21.06,,38.12,,56.88,63.79,75.3,57.86,47.51,34.56,22.51,46.24,,10.09,52.615,22.13,762.97,149.71,43.34
2022-01-04,97.22,128.28,115.42,96.15,27.08,53.44,36.83,23.83,161.6,195.39,35.86,11.12,9.547,,94.19,,45.87,101.93,61.93,86.78,34.68,41.65,,,74.56,107.1,75.88,122.97,475.3,53.15,14.85,4.714,11.74,33.82,20.85,,37.81,,56.76,63.57,75.33,57.87,47.47,34.49,23.43,46.77,,10.07,52.6,21.54,743.72,144.61,42.86
2022-01-05,93.91,125.28,108.62,94.13,26.23,51.32,36.29,22.74,159.24,190.65,35.26,10.89,9.291,,92.27,,45.53,100.8,59.32,82.59,33.3,40.87,,,72.37,104.95,75.34,119.5,445.05,52.73,14.92,4.526,11.64,33.96,20.49,,36.76,,56.61,64.49,76.05,57.92,47.58,34.51,23.97,45.53,9.9,10.07,50.87,20.2,720.66,139.32,40.96
2022-01-06,96.07,125.97,109.22,94.435,28.02,51.52,36.39,23.29,159.58,190.82,35.99,11.01,9.26,,93.53,,43.89,98.71,58.78,84.1,33.17,40.89,,,71.68,104.7,74.415,119.98,449.49,52.78,14.97,4.505,11.37,34.11,20.65,,36.06,,56.67,64.33,75.8,57.88,46.76,34.36,22.52,45.91,9.9,10.05,48.57,19.46,707.95,137.48,39.5
2022-01-07,94.12,123.65,106.03,93.9,26.62,50.24,36.1,22.5,158.17,186.82,35.14,10.58,9.131,,92.31,,44.67,97.49,57.09,81.76,32.38,39.42,,,71.77,105.3,73.02,120.505,429.84,52.71,15.11,4.408,11.085,33.77,21.03,,35.98,,57.6,65.24,77.17,58.25,47.81,34.3,23.47,46.67,9.88,10.04,51.965,19.26,707.75,137.69,39.5
2022-01-10,94.23,121.97,107.11,94.86,26.56,49.82,35.91,23.44,156.83,183.41,34.49,10.435,9.145,,91.78,,44.46,100.54,57.38,80.86,32.91,39.32,,,71.41,106.09,74.89,119.64,435.2,54.4,15.0,4.415,10.845,33.46,20.8,,35.81,,56.99,64.97,76.89,58.16,47.63,34.41,23.05,45.98,9.88,10.07,48.67,19.13,697.05,136.34,39.5
2022-01-11,95.2,122.71,109.26,96.55,27.05,50.4,36.15,23.87,157.99,187.15,34.79,10.46,9.017,,92.1,,44.75,98.15,57.41,84.79,33.29,39.65,,,72.7,107.49,73.92,119.93,437.66,54.73,15.04,4.496,11.27,33.85,20.86,,36.24,,56.61,64.41,76.26,57.43,46.36,33.67,23.28,46.48,9.9,10.05,50.615,19.65,700.28,136.0,39.15
2022-01-12,96.12,121.25,109.31,93.95,27.385,50.395,36.19,23.82,161.5,189.12,35.17,10.47,8.778,,92.98,,45.13,99.51,57.44,83.53,33.25,39.79,,,71.565,107.53,73.27,120.14,433.51,54.47,15.13,4.488,11.37,33.96,21.23,,36.67,,56.78,64.54,76.73,57.54,46.59,33.91,23.65,45.83,9.9,10.06,49.45,19.165,697.25,135.91,39.46
2022-01-13,95.98,122.89,106.49,94.43,27.71,51.22,36.46,23.67,161.3,186.92,35.25,10.75,8.719,,93.47,,45.06,97.29,55.08,77.32,32.77,39.26,,,70.16,105.22,72.05,118.01,418.93,54.67,15.43,4.526,11.59,33.89,20.94,,36.29,,57.02,64.9,77.2,58.01,47.18,34.23,22.78,45.79,9.9,10.045,45.63,18.3,682.0,134.75,38.57
2022-01-14,94.97,122.94,105.95,96.47,27.91,51.0,36.27,23.19,161.0,186.87,34.8,10.68,8.912,,95.18,,45.17,95.98,55.05,81.68,32.45,39.17,,,71.13,106.39,71.37,118.01,423.58,55.01,15.49,4.558,11.58,32.99,20.91,,36.27,,56.11,64.43,77.28,58.27,47.39,34.03,22.35,46.0,9.9,10.04,45.95,18.12,681.46,133.31,37.81
