,CIF-B-PR,CIF-B-TR,CIF-C-PR,CIF-C-TR,CIF-R-PR,CIF-R-TR,CIF-X-PR,CIF-X-TR
2022-01-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2022-01-04,101.60870492699816,101.60870492699816,100.82986062271702,100.82986062271702,99.3164856245722,99.3164856245722,100.58501705809579,100.58501705809579
2022-01-05,98.5800010640525,98.5800010640525,98.38257683058005,98.38257683058005,98.41884529838049,98.41884529838049,98.460474397671,98.460474397671
2022-01-06,99.83729417347536,99.83729417347536,98.29235176928091,98.29906092728159,97.35794381116358,97.35794381116358,98.4958632513066,98.49809963730684
2022-01-07,97.59883180595061,97.59883180595061,96.66381784902633,96.67041584790644,98.3417720262817,98.3417720262817,97.53480722708619,97.53702179194423
2022-01-10,97.49894964558175,97.49894964558175,96.99352582447528,97.00014632828952,97.71509566992951,97.71509566992951,97.40252371332882,97.40473527463942
2022-01-11,98.77883625544268,98.77883625544268,97.84604919746256,97.85272789211164,97.04804916712315,97.04804916712315,97.89097820667611,97.89320085853157
2022-01-12,98.8235129410186,98.8235129410186,97.86177307950582,97.86845284742263,97.35113445140834,97.35113445140834,98.0121401573109,98.01436556019449
2022-01-13,98.86862238281488,98.86862238281488,96.18935050765386,96.19591612073485,97.10045409302984,97.10045409302984,97.38614232783283,97.38835351719784
2022-01-14,98.64378508860261,98.65399237503479,96.54330871685454,96.54989849012205,96.6220047802754,96.6220047802754,97.26969952857749,97.27531058012868
2022-01-18,96.76073166938068,96.77074410455486,93.5167086404645,93.5230918265688,95.77584832202236,95.77584832202236,95.35109621062249,95.35659658657607
2022-01-19,94.63136113851971,94.64115323447122,91.33265515458453,91.3388892633735,95.77469517741129,95.77469517741129,93.91290382350515,93.91832123660737
2022-01-20,93.17142587226837,93.24825870100237,89.06093404686145,89.06701309439113,95.39679029660381,95.39679029660381,92.54305007191118,92.57078470595356
2022-01-21,91.94247454060512,92.01829392765028,86.96914288957123,86.97507915735126,94.97582434380449,94.97582434380449,91.29581392466025,91.32317476901143
2022-01-24,93.53532272205216,93.61245563446606,87.63530115433285,87.64128289219241,94.5436629348294,94.5436629348294,91.90476227040477,91.93230561316624
2022-01-25,91.55154109119022,91.6270380991102,85.1955284032927,85.20134360916296,94.01213234373691,94.01213234373691,90.25306727940658,90.28011561842557
2022-01-26,90.61266055350482,90.68738332354147,86.8503332376983,86.85626139586743,93.08828473080322,93.08828473080322,90.18375950733541,90.2107870752031
2022-01-27,88.90493546172824,88.97824997436975,86.20113896995493,86.20702281595901,92.99524528381211,92.99524528381211,89.36710657183173,89.39388939338633
2022-01-28,90.03197870963278,90.10622262654208,87.87905102068302,87.88504939621923,94.6939646055723,94.6939646055723,90.868331445296,90.8955641755412
2022-01-31,91.76853106610473,91.84420701250744,90.78010523576637,90.78630162906029,95.78957062789047,95.81568758805116,92.77940230992047,92.81591603982795
2022-02-01,92.34036278928507,92.41651029065692,91.28139139858436,91.28762200825432,94.90636743814794,94.93224359356998,92.8427072086724,92.87924585249307
