date,AGX,EME,ETN,FIX,GEV,HUBB,IESC,MOD,MTZ,NVT,POWL,PWR,STRL,VRT
2022-01-03,0.03304612102247582,0.10000000000000005,0.10000000000000005,0.10000000000081052,,0.10000000000081052,0.06245981785043476,0.03333272933211433,0.10000000000081052,0.10000000000081052,0.021726222257958765,0.10000000000000005,0.049435109532963754,0.10000000000081052
2022-01-04,0.03310078352427453,0.10084650495665609,0.10000523323894563,0.0994052672665167,,0.10010448645088943,0.06283097919724079,0.034852709049960955,0.10060385353456738,0.09906232852703291,0.022009862130977203,0.10174199216042018,0.049036740918373393,0.09639925904414484
2022-01-05,0.0336102481475721,0.1014932380973884,0.10155165448647681,0.09895074877647439,,0.10065642058486655,0.06217953789385414,0.03517329845253185,0.10149551467819766,0.10040307791828189,0.022073252102698133,0.09866938683970815,0.0489468437975739,0.09479677822437597
2022-01-06,0.03329178869422276,0.10080726431270429,0.1005269788714561,0.09999179642033369,,0.09951714314693684,0.06166035666870434,0.03512706562759038,0.10058219568218506,0.10120572572997953,0.02173122387068581,0.09800407610318737,0.051649232086651,0.09590515278536302
2022-01-07,0.03376793857886487,0.10117284728328166,0.10187636407739595,0.10016215286708033,,0.09961908039913867,0.06147874039306921,0.0345132114964622,0.1022583713449127,0.10105999656415394,0.021909713263398203,0.09727827930985,0.050170559123632004,0.09473274529876037
2022-01-10,0.0336257329007586,0.09990421074981193,0.1011205404991503,0.10038569749807928,,0.09790459814289862,0.06102952235992163,0.03407635046425784,0.10341351911304815,0.0992938400116714,0.021966606917888352,0.09837348467252847,0.050110631782645736,0.09879526488733974
2022-01-11,0.033432348518721094,0.09926829092220715,0.1006096546459882,0.10016578927371979,,0.09866650143613928,0.06097707719746912,0.03373588647928898,0.10395521819967218,0.09892082018381626,0.021391496002401894,0.09910807750828278,0.05040445187048352,0.09936438776180964
2022-01-12,0.033426845750335096,0.09796256943498151,0.10271418332408594,0.10100527673270764,,0.09957841021995884,0.060893557684723626,0.0337252327358027,0.10102727344583297,0.09984705009953299,0.020798044171688172,0.09902744672516607,0.05096384706285601,0.09903026261232849
2022-01-13,0.03367404706131799,0.09928054037563264,0.1025797003135598,0.10085100121295361,,0.09841304496227245,0.061886032443904095,0.03462469095314391,0.10153622324729364,0.10006738770860041,0.02065678670560264,0.09646586925037115,0.05156501543227175,0.09839966033307584
2022-01-14,0.033589833438012584,0.09948761808839851,0.10266831930564851,0.1000620565391059,,0.09865520438332648,0.061788373151724175,0.034493098787191014,0.10401280587716961,0.09908620263003418,0.02117165378068533,0.09623860830918633,0.0520789213722751,0.09666730433724245
2022-01-18,0.03400900772282239,0.09813768637042873,0.10197306951568853,0.09816231105963102,,0.09995863224477032,0.061590146265346916,0.03487365089937365,0.10354321978459766,0.1011677647055795,0.021085209018216883,0.09708167167420571,0.05236659530194054,0.09605103543739821
2022-01-19,0.03450965619431324,0.09899442697619915,0.10226330327518135,0.09719940079769859,,0.10136043884073032,0.061770137012221296,0.0339724805352164,0.1021554457324315,0.10043390294223282,0.02063433995493143,0.09599109782487922,0.05394690469463467,0.09676846521933008
2022-01-20,0.03464957407117331,0.09948022511110007,0.10222958121927438,0.0998327727679888,,0.10098886506041932,0.06263985223077626,0.03313406628699533,0.10255960301189748,0.09931479655412004,0.02009758996249368,0.09529983942473455,0.053407923958816356,0.09636531034021036
2022-01-21,0.03419031414430339,0.10012986815042106,0.10337057868961137,0.09799878281661116,,0.10288917219840682,0.0629600038555929,0.03340842147467348,0.10263941419621983,0.09928825820442042,0.02051134480670371,0.09502029026001266,0.05265027378924469,0.09494327741377839
2022-01-24,,0.10722416242712475,0.10719405053372666,0.1034320550305629,,0.10628931103321974,0.06720411418262599,0.034260602137071536,0.10242245241300062,0.10109144848675349,0.02295219842081257,0.09638704556018904,0.0558417770640601,0.09570078271085258
2022-01-25,,0.10421857273115859,0.10567481162026819,0.10190090238231746,,0.10302072556416222,0.06626472044763744,0.0347127245782199,0.10538491920440449,0.10246251093560266,0.024668506565219853,0.09781096521344464,0.055383975400086514,0.09849666535747806
2022-01-26,,0.10476801628562418,0.10721075187049071,0.100722739659529,,0.1034966174739977,0.06516033298462111,0.033779655113923834,0.10506451021156009,0.10287155636509938,0.02480950942894457,0.09871014176581396,0.055919947765463045,0.09748622107493242
2022-01-27,,0.10640863449228287,0.10759101222814393,0.10152849121694756,,0.10380087673186027,0.06590852852620006,0.03305258853508148,0.10400792566845136,0.10346559751794172,0.02543134673924567,0.10068063462741222,0.054161386142373105,0.09396297757405972
2022-01-28,,0.10704409108633789,0.10719723855813824,0.10304038008673129,,0.10241928094489894,0.06530362872136196,0.03286845003943309,0.1045350490460899,0.10325744075260354,0.025034021202171887,0.1011892392680882,0.05344333206327277,0.09466784823087229
2022-01-31,,0.10600213263407465,0.10607298600278825,0.1034103998772974,,0.10284923071724132,0.06493476363641773,0.03281414708385385,0.1035397523858552,0.10317000384682971,0.02465553370839044,0.10318726818138665,0.05286324601675289,0.09650053590911192
2022-02-01,,0.10396992543101015,0.1058590276807494,0.10177029482612424,,0.10273476204434756,0.06643273284447038,0.03355560858916599,0.10409593004685098,0.10311125901657174,0.02399686949570167,0.10282754125146819,0.05479866842380673,0.09684738034973295
2022-02-02,,0.10404877853418162,0.10794554921970315,0.10008382843472151,,0.1031481537320496,0.06236394610849888,0.03325690806365928,0.10227977396519981,0.10492446894783534,0.023518362249726595,0.10431310770349085,0.05546162413371387,0.0986554989072196
2022-02-03,,0.10422718500171224,0.10598501081580369,0.099165458822735,,0.10298782327536417,0.05973059845505601,0.039115815765938804,0.10268059362900726,0.10379184472974852,0.023900887770342515,0.10313491031426242,0.05745459189700546,0.09782527952302392
2022-02-04,,0.10530996228141659,0.10295833729935382,0.0992367468527823,,0.10445547099752714,0.058381545432345826,0.03773572329612249,0.10374025143395785,0.10482629279195334,0.023323900080246995,0.1022974094809972,0.057298716598640914,0.10043564345465544
2022-02-07,,0.10427285966068223,0.10245538936767776,0.09992116969170406,,0.10390167732271541,0.056464612217752924,0.03739204802238304,0.10471361585365115,0.10476722586156562,0.024389333768747246,0.10132474282231503,0.058428598179092336,0.1019687272317133
2022-02-08,,0.10309575308594852,0.1009815350805634,0.09865481537071408,,0.10324880876366088,0.05610216419077927,0.03823143064109864,0.1055987466598197,0.10278905059074267,0.02368380010000417,0.10244329883399736,0.0613459546244633,0.10382464205820802
2022-02-09,,0.10192189100028443,0.10270055104506723,0.10086066997295448,,0.1032165618921721,0.05460892780801153,0.03854087885433652,0.10790104555493495,0.10460357003532149,0.019269664777105042,0.10443531180618668,0.05872808886675865,0.10321283838686694
2022-02-10,,0.10257720153200174,0.10326147256536833,0.10011308314329728,,0.10209833761588012,0.05744475389069681,0.03770969791496745,0.10810135111225778,0.10389019344575841,0.018302712117586332,0.1031106795857665,0.06007446381479763,0.1033160532616216
2022-02-11,,0.10443678764294302,0.10263726545847365,0.101903973114283,,0.10250492529717899,0.05835528465927989,0.03647366435276561,0.1089626205411641,0.10265589117729106,0.019391476504979334,0.10221019760756661,0.06097547891620962,0.09949243472786516
