date,AEP,BE,BWXT,CCJ,CEG,D,DLR,EQIX,ETR,EXC,IRM,LEU,NRG,OKLO,PEG,SMR,SO,TLN,VST
2022-01-03,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705
2022-01-04,0.05910556727091713,0.05750452817920064,0.05987018768134654,0.06149824530604394,,0.05889038852588343,0.057054377054170685,0.057561137592985694,0.059015258345629026,0.05901678605638494,0.058422721710454886,0.0589556068990925,0.05861132766970985,0.05901898034568365,0.058927093184795824,0.05896156165113071,0.05907889809222748,,0.05850733443434314
2022-01-05,0.060420095658781744,0.05462298188424536,0.05898853186911271,0.06371267948412587,,0.0604961476838005,0.055666398680334385,0.05647488216413172,0.059914530029849804,0.0597344754908856,0.056551196572276974,0.0581705021213109,0.05769424967030322,0.060082083896371104,0.059540854932907304,0.059839328001840296,0.059909551652128495,,0.05818151020759405
2022-01-06,0.06109464532010552,0.05338346401294362,0.06029137151460412,0.060730884906567674,,0.0612542498482105,0.05574977489280333,0.05627318926234877,0.059750543714763786,0.060342503937917125,0.055322161307323516,0.056166602690551494,0.05742590432009315,0.06082728692332686,0.060456420153735924,0.060643872584056006,0.060704154763563015,,0.059582969847085616
2022-01-07,0.06144961877007294,0.052139780464381225,0.06058535860990853,0.06250247349934467,,0.061391125637575726,0.055162308524335735,0.05558028144955864,0.06036048382477999,0.05951568726874632,0.05467420520121746,0.05896635375363949,0.056617378211523406,0.060089156903539116,0.06072889613942891,0.059967518934098726,0.060380966695563094,,0.05988840611228595
2022-01-10,0.061870536788720475,0.05234261245941309,0.0602913322834275,0.062018872187503835,,0.06172273612637126,0.055094578838190494,0.05537777847004947,0.06074157147937154,0.0603130648721001,0.05510135021146249,0.0559813225877383,0.056940343563737415,0.060284757482485955,0.06066999739938393,0.06051827653319156,0.06089834344753476,,0.059832525269317746
2022-01-11,0.06138418214046949,0.05377654832676712,0.06095305379415348,0.06272540586806594,,0.06119418429914014,0.05503331849434437,0.05557404126041966,0.05914419472376364,0.059051522210861275,0.05475856793803435,0.05702748199114259,0.05765733962185672,0.060775335066251886,0.06030707542207189,0.060530811375554425,0.060128793839327996,,0.05997814362777498
2022-01-12,0.061651683580914704,0.05241541281904302,0.06001831781876999,0.06351512266501308,,0.0612536156387748,0.05492716877391218,0.05531964350350312,0.05933139026722137,0.059359552642360064,0.055128462331349694,0.05623444943941291,0.058208868449901044,0.0606886393965815,0.060394806250095384,0.06038438055678451,0.060158402462351955,,0.06101008340401067
2022-01-13,0.06267183862550776,0.050546741939215545,0.060616102744886005,0.061873442100615156,,0.06221199536041521,0.055021499300749926,0.05468777918931564,0.06070289676661147,0.06049871387406595,0.05442669867291002,0.05335088856738144,0.05818907792402381,0.06090291560657968,0.06124920723375834,0.06099848254283931,0.06128125699470503,,0.060770462556419845
2022-01-14,0.06302806246699429,0.05026792383645403,0.061095271664939464,0.060953713980701874,,0.06202866081851868,0.0546512142012568,0.054826230824354116,0.061204357306447736,0.06049342866738736,0.05355144665819515,0.05368817853412046,0.0584283468473495,0.061168299191922335,0.060541862905580314,0.061264282559742464,0.06182744017970555,,0.06098127935632982
2022-01-18,0.06331862667674923,0.04781038802087601,0.06203023306974484,0.05902888781668374,,0.06220704869264481,0.05530080931658377,0.055197653800054,0.061249934396370304,0.06099869565856671,0.05336834628436846,0.05264452733247722,0.05821565555699152,0.06218283700099672,0.06123723772396869,0.0619347710827799,0.06197403532137025,,0.06130031224877379
