date,ALAB,ANET,APH,AVGO,CIEN,CLS,COHR,CRDO,DELL,FN,GLW,HPE,LITE,MPWR,MRVL,MU,SMCI,SNDK,STX,WDC
2022-01-03,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705
2022-01-04,,0.056558291247294605,0.058175028453648615,0.058694792318819106,0.056869255179235766,0.06078956248838763,0.060483866444554425,,0.0595508472436132,0.058721680709081236,0.05927284587437548,0.06043527919584345,0.05804222471213483,0.05762729272929828,0.05731319403101197,0.05837147927321592,0.060123404891835826,,0.05949946986737742,0.05947148534027221
2022-01-05,,0.05555197102984953,0.0583934700820782,0.05750924692704228,0.057758230815649465,0.06165267847898346,0.060052385940442474,,0.06043388240033988,0.058372091899300996,0.06088185913051439,0.062111347347633995,0.05818018131020315,0.05519595557518357,0.05579566787092986,0.0584917306217818,0.0590481896094371,,0.060187963944015106,0.06038314701661461
2022-01-06,,0.055566545302101075,0.05866640054333255,0.057224078245740814,0.057287706806022846,0.06047447674915655,0.05972860572642026,,0.06074419703072671,0.05885168417992374,0.06140654030739378,0.06258015195217075,0.05828435502836965,0.05597977791159374,0.05700884636133691,0.05953845639004236,0.059020042574108575,,0.05918654076385116,0.0584515941277085
2022-01-07,,0.054951011047853784,0.05729541513128618,0.05630412130225983,0.05694737350114006,0.05972804091886451,0.060584041944939084,,0.061455300116169745,0.05988058343707566,0.06158782808274861,0.06398971786296498,0.059383337502569265,0.054231158554249155,0.056145901269793234,0.059528687252381696,0.058502877408560125,,0.05921787163955619,0.06026673302758787
2022-01-10,,0.05567036454868149,0.05696578672183391,0.05640765246647801,0.05821743144396681,0.058246451039476795,0.060085775562358314,,0.06322117559522586,0.05925905211259633,0.06082569847005131,0.06331904119212249,0.05963593333397499,0.054730357063202714,0.05534880538258033,0.058996051726676144,0.05840683714978223,,0.06087359417597581,0.0597899920150163
2022-01-11,,0.05580114135528741,0.05692157207437075,0.05592398787636022,0.05694089276036749,0.05997868399700309,0.06061500607331089,,0.06302635911864563,0.058862571865939024,0.060975159508092694,0.06291062664068355,0.05987351265447753,0.05453927428843265,0.057511176765008214,0.058663453821013255,0.058937591941836134,,0.05888619214265001,0.05963279711652139
2022-01-12,,0.05573102399099589,0.057119410904455784,0.055950130453574096,0.05643708726402026,0.060507549874254246,0.05966539278406656,,0.06272349261405227,0.05896239472349146,0.06116993793418168,0.06328360179290918,0.05989249526023458,0.054019144879230846,0.05665342708201286,0.059220712258059235,0.058829481333518924,,0.05969885205945494,0.06013586479148726
2022-01-13,,0.05561731107697829,0.05706742143473977,0.0543261311278631,0.056195373093351,0.06245406522241123,0.05922970675499362,,0.06374558417215861,0.05864546988358839,0.06181161641764046,0.06535011571061694,0.05934296377699264,0.05285891208974671,0.053101125233696006,0.06028156254027489,0.060073770985207935,,0.05910110911734728,0.06079776136239301
2022-01-14,,0.05487330020352026,0.05672889945450415,0.05409847237081237,0.05546194591168853,0.06217254828760332,0.059829537168029016,,0.0639080415498325,0.058431535986961256,0.05995062015325862,0.06536491262806243,0.05978394592434982,0.05325066518815886,0.055890814696776314,0.0611604667635957,0.060277814578779274,,0.05809262561399934,0.06072385352006819
