,SPY,QQQ,SMH,XLU
2022-01-03,100.0,100.0,100.0,100.0
2022-01-04,99.94215795328142,98.75400589667991,99.66178861788617,99.67710687762352
2022-01-05,98.06451612903226,95.65953082938084,96.16910569105693,99.61252825314821
2022-01-06,97.9488320355951,95.61594667350339,97.16422764227642,98.57927026154343
2022-01-07,97.53948832035596,94.54685296756826,94.26341463414634,99.28963513077171
2022-01-10,97.45050055617352,94.68529675682605,94.4260162601626,98.67613819825638
2022-01-11,98.3270300333704,96.07742597102936,96.12357723577236,97.7720374556022
2022-01-12,98.60956618464961,96.35944109729522,96.99512195121952,98.06264126574105
2022-01-13,97.2880978865406,94.07768234841687,95.28455284552845,98.54698094930578
2022-01-14,97.2436040044494,94.60581976669657,97.4959349593496,97.9011947045528
2022-01-18,95.55283648498332,92.30867837456736,92.98861788617886,96.73877946399742
2022-01-19,94.57397107897664,91.23702089475708,90.4260162601626,97.19082983532451
2022-01-20,93.47719688542826,90.0141007563133,87.74634146341464,97.31998708427511
2022-01-21,91.68186874304783,87.51954877579797,86.38048780487804,97.15854052308686
2022-01-24,92.11790878754171,88.0374310985771,87.34959349593497,96.15757184371974
2022-01-25,90.94549499443826,85.88898859120626,83.76585365853659,94.63997416855021
2022-01-26,90.65628476084538,85.83258556595308,85.20975609756097,93.92960929932192
2022-01-27,90.28031145717463,84.87373413664915,81.39186991869919,94.67226348078786
2022-01-28,92.50723025583981,87.60158953980259,83.00487804878048,95.89925734581854
2022-01-31,94.15350389321468,90.41148570696065,87.33658536585367,97.6428802066516
2022-02-01,94.79199110122359,91.01397256761953,87.8829268292683,96.38359702938328
2022-02-02,95.69744160177976,91.7369568004102,89.99024390243903,97.7720374556022
2022-02-03,93.44827586206897,88.04768619407768,85.93170731707318,97.31998708427511
2022-02-04,93.93103448275862,89.08345083963594,86.4390243902439,96.60962221504683
2022-02-07,93.61512791991102,88.43481604922445,86.40650406504065,96.44817565385857
2022-02-08,94.35817575083426,89.42956031278041,88.35121951219512,96.54504359057152
2022-02-09,95.74193548387096,91.28060505063453,91.40162601626017,96.99709396189861
2022-02-10,94.0622914349277,89.2372772721446,88.71544715447155,94.47852760736197
2022-02-11,92.18687430478309,86.44019997436226,84.22113821138211,94.51081691959962
2022-02-14,91.86651835372636,86.52736828611717,84.12357723577236,93.76816273813368
2022-02-15,93.35261401557285,88.6860658889886,88.6308943089431,93.28382305456894
2022-02-16,93.4972191323693,88.63735418536085,88.6308943089431,93.47755892799483
2022-02-17,91.46607341490545,86.04025124983976,85.08617886178862,93.57442686470779
2022-02-18,90.89877641824249,85.01217792590693,84.16910569105691,93.3806909912819
2022-02-22,89.91768631813126,84.17126009485963,83.60325203252033,93.31611236680659
2022-02-23,88.34260289210233,82.00999871811305,81.7560975609756,91.66935744268648
2022-02-24,89.65294771968854,84.80707601589539,84.59837398373983,92.41201162415241
2022-02-25,91.60622914349277,86.11972823996923,85.80813008130082,95.3503390377785
2022-02-28,91.36373748609566,86.38892449685937,85.02764227642275,95.77010009686794
2022-03-01,89.99110122358175,85.0275605691578,82.3609756097561,95.02744591540201
2022-03-02,91.63515016685206,86.41456223561082,85.07317073170734,96.15757184371974
2022-03-03,91.21023359288098,85.17369568004102,83.2,97.86890539231514
2022-03-04,90.45606229143493,83.98154082809896,81.08617886178862,100.0
2022-03-07,87.8020022246941,80.91526727342648,76.98211382113821,101.29157248950598
2022-03-08,87.13904338153503,80.48455326240226,78.17886178861788,99.70939618986117
2022-03-09,89.47274749721913,83.40725548006665,81.52195121951219,98.96674200839523
2022-03-10,89.05895439377086,82.50737084989103,79.75284552845528,99.67710687762352
2022-03-11,87.9265850945495,80.66401743366235,78.00325203252032,99.32192444300937
2022-03-14,87.27252502780868,79.21292142033073,75.72032520325203,99.22505650629643
2022-03-15,89.2035595105673,81.68696320984489,78.90081300813009,100.48433968356474
2022-03-16,91.1924360400445,84.75323676451737,83.01138211382114,100.3228931223765
2022-03-17,92.31813125695217,85.76079989744905,83.47317073170731,100.71036486922829
2022-03-18,93.2992213570634,87.49903858479682,85.36585365853658,99.87084275104941
2022-03-21,93.30589543937708,87.27599025765927,85.20975609756097,100.54891830804004
2022-03-22,94.40266963292547,88.96038969362903,85.77560975609757,100.61349693251535
2022-03-23,93.18353726362625,87.68875785155748,83.63577235772358,100.80723280594124
2022-03-24,94.57174638487209,89.63466222279195,87.70731707317073,101.87278010978366
2022-03-25,95.04115684093438,89.55518523266248,87.34959349593497,103.35808847271554
2022-03-28,95.71301446051167,90.9832072811178,88.00650406504064,104.00387471746852
2022-03-29,96.91879866518353,92.52147160620433,89.96422764227643,104.94026477236035
2022-03-30,96.29588431590656,91.50621715164722,87.2390243902439,105.84436551501453
2022-03-31,94.86318131256952,90.23971285732598,85.49593495934958,105.74749757830159
2022-04-01,95.09899888765295,90.19100115369824,84.18211382113822,107.20051662899581
2022-04-04,95.8932146829811,92.04973721317779,85.56747967479674,106.39328382305459
2022-04-05,94.74304783092325,90.04999359056531,81.89268292682927,107.0713593800452
2022-04-06,93.7797552836485,88.03486732470196,80.16260162601625,109.20245398773007
2022-04-07,94.21357063403782,88.27073452121523,80.16260162601625,108.94413948982887
2022-04-08,93.98665183537264,87.01961287014485,78.2439024390244,109.299321924443
2022-04-11,92.38709677419355,84.99166773490577,76.50731707317073,107.78172424927351
2022-04-12,92.02447163515016,84.63017561851045,76.16910569105691,108.16919599612528
2022-04-13,93.08342602892102,86.31970260223048,77.92520325203252,108.04003874717469
2022-04-14,91.95550611790878,84.36097936162031,75.59674796747967,108.00774943493705
2022-04-18,91.96662958843159,84.4763491860018,76.8,107.49112043913465
2022-04-19,93.41490545050056,86.27611844635302,78.51056910569106,108.13690668388763
2022-04-20,93.37486095661846,85.00705037815665,78.28943089430895,108.97642880206652
2022-04-21,91.9488320355951,83.34828868093835,76.23414634146341,107.2650952534711
2022-04-22,89.45494994438265,81.10498654018716,74.4910569105691,105.45689376816273
2022-04-25,89.98220244716352,82.15357005512114,75.73333333333333,104.7142395866968
2022-04-26,87.36373748609566,78.98218177156774,72.63089430894308,103.64869228285438
2022-04-27,87.59510567296996,78.95141648506602,72.20813008130081,103.09977397481434
2022-04-28,89.81312569521691,81.75618510447379,76.13658536585366,104.29447852760735
2022-04-29,86.48720800889878,78.12844507114472,72.87154471544716,101.16241524055538
2022-05-02,87.05228031145718,79.37443917446483,75.03089430894309,100.1291572489506
2022-05-03,87.41490545050056,79.48468145109601,75.59024390243903,100.48433968356474
2022-05-04,90.09121245828699,82.19202666324828,78.30243902439024,102.77688085243784
2022-05-05,86.96774193548387,78.12075374951928,74.54959349593496,101.77591217307072
